country,adap-org,alg-geom,astro-ph,atom-ph,chao-dyn,cond-mat,cs,dg-ga,econ,eess,funct-an,gr-qc,hep-ex,hep-lat,hep-ph,hep-th,math,math-ph,mtrl-th,nlin,nucl-ex,nucl-th,patt-sol,physics,q-alg,q-bio,q-fin,quant-ph,solv-int,stat
Australia,0.0,0.0,7.954545454545454,0.0,0.22727272727272727,9.545454545454547,27.500000000000004,0.0,0.9090909090909091,2.272727272727273,0.0,3.4090909090909087,0.9090909090909091,0.45454545454545453,3.6363636363636362,4.545454545454546,21.136363636363637,2.0454545454545454,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,6.136363636363637,0.0,1.1363636363636365,0.45454545454545453,2.727272727272727,0.0,3.6363636363636362
Belgium,0.0,0.0,9.090909090909092,0.0,0.0,14.685314685314685,27.972027972027973,0.0,0.0,1.3986013986013985,0.0,2.097902097902098,0.0,0.0,0.0,4.895104895104895,23.776223776223777,0.6993006993006993,0.0,0.6993006993006993,1.3986013986013985,0.6993006993006993,0.0,6.293706293706294,0.0,0.0,0.0,2.797202797202797,0.0,3.4965034965034967
Brazil,0.0,0.0,10.416666666666668,0.0,0.0,11.904761904761903,23.511904761904763,0.0,0.2976190476190476,2.380952380952381,0.0,2.976190476190476,0.5952380952380952,0.2976190476190476,3.571428571428571,3.571428571428571,19.940476190476193,2.380952380952381,0.0,0.5952380952380952,0.0,0.8928571428571428,0.2976190476190476,8.630952380952381,0.0,0.5952380952380952,0.5952380952380952,4.464285714285714,0.0,2.083333333333333
Canada,0.0,0.0,7.703488372093023,0.0,0.0,10.901162790697674,24.563953488372093,0.0,0.0,3.1976744186046515,0.0,1.88953488372093,1.744186046511628,0.436046511627907,4.069767441860465,3.6337209302325584,21.075581395348838,1.5988372093023258,0.0,1.0174418604651163,0.7267441860465116,1.4534883720930232,0.0,6.686046511627906,0.14534883720930233,1.0174418604651163,0.29069767441860467,3.77906976744186,0.0,4.069767441860465
China,0.057454754380925024,0.0,9.50876185004309,0.0,0.08618213157138753,11.174949727089917,28.124102269462796,0.0,0.37345590347601265,2.5567365699511635,0.0,2.154553289284688,1.3214593507612755,0.5745475438092502,3.4472852628555013,3.0163746049985636,19.33352484918127,1.2640045963803506,0.028727377190462512,0.6320022981901753,0.43091065785693766,1.0341855788566505,0.0,7.32548118356794,0.057454754380925024,1.2065498419994254,0.43091065785693766,3.2461936225222634,0.0,2.6141913243320882
France,0.0,0.0,10.091743119266056,0.0,0.0,10.321100917431194,26.376146788990823,0.0,0.11467889908256881,2.522935779816514,0.0,1.94954128440367,1.94954128440367,0.34403669724770647,3.211009174311927,3.555045871559633,17.31651376146789,2.1788990825688073,0.0,1.146788990825688,0.45871559633027525,0.45871559633027525,0.0,7.110091743119266,0.0,1.7201834862385321,0.11467889908256881,4.472477064220183,0.0,4.587155963302752
Germany,0.0,0.0,8.809293320425944,0.0,0.0,11.907066795740562,25.36302032913843,0.0,0.1936108422071636,1.8393030009680542,0.0,2.032913843175218,1.6456921587608906,0.7744433688286544,3.291384317521781,3.77541142303969,18.68344627299129,1.7424975798644726,0.0,1.2584704743465636,0.48402710551790895,1.1616650532429817,0.0968054211035818,6.679574056147144,0.0,1.1616650532429817,0.5808325266214909,3.4849951597289452,0.0,5.033881897386254
India,0.16,0.16,9.120000000000001,0.0,0.16,11.200000000000001,26.240000000000002,0.0,0.16,2.2399999999999998,0.0,2.4,1.1199999999999999,0.32,3.6799999999999997,3.2,20.48,1.28,0.0,0.8,0.16,0.96,0.16,8.16,0.0,0.48,0.32,4.16,0.0,2.88
Israel,0.0,0.0,6.25,0.0,0.0,15.865384615384615,21.153846153846153,0.0,0.9615384615384616,4.807692307692308,0.0,1.9230769230769231,0.0,0.4807692307692308,3.3653846153846154,4.326923076923077,23.557692307692307,3.3653846153846154,0.0,1.4423076923076923,0.0,0.0,0.0,6.25,0.0,0.9615384615384616,1.4423076923076923,1.9230769230769231,0.0,1.9230769230769231
Italy,0.0,0.17421602787456447,10.975609756097562,0.0,0.0,10.975609756097562,24.912891986062718,0.0,0.34843205574912894,2.4390243902439024,0.0,2.961672473867596,1.0452961672473868,0.34843205574912894,4.006968641114982,4.529616724738676,19.16376306620209,1.7421602787456445,0.0,0.34843205574912894,0.5226480836236934,1.0452961672473868,0.0,6.620209059233449,0.17421602787456447,0.5226480836236934,0.17421602787456447,3.484320557491289,0.0,3.484320557491289
Japan,0.23446658851113714,0.11723329425556857,8.558030480656505,0.0,0.0,12.543962485345839,22.039859320046894,0.0,0.11723329425556857,2.813599062133646,0.0,3.048065650644783,0.7033997655334115,0.5861664712778429,3.6342321219226257,3.2825322391559206,19.695193434935522,1.2895662368112544,0.0,1.2895662368112544,0.8206330597889802,1.2895662368112544,0.0,6.447831184056271,0.23446658851113714,1.875732708089097,0.23446658851113714,4.6893317702227435,0.0,4.4548651817116065
Netherlands,0.0,0.0,8.78186968838527,0.0,0.28328611898017,12.464589235127479,23.79603399433428,0.0,0.28328611898017,1.69971671388102,0.0,0.84985835694051,3.1161473087818696,1.41643059490085,2.8328611898017,3.9660056657223794,17.56373937677054,2.5495750708215295,0.0,1.41643059490085,0.0,0.28328611898017,0.0,8.78186968838527,0.0,1.41643059490085,0.56657223796034,5.099150141643059,0.28328611898017,2.5495750708215295
Poland,0.0,0.0,16.216216216216218,0.0,0.0,14.864864864864865,22.972972972972975,0.0,0.0,2.7027027027027026,0.0,2.7027027027027026,0.6756756756756757,0.0,3.3783783783783785,2.027027027027027,16.216216216216218,1.3513513513513513,0.0,1.3513513513513513,0.6756756756756757,0.6756756756756757,0.0,10.81081081081081,0.0,0.0,0.0,2.027027027027027,0.0,1.3513513513513513
Russia,0.0,0.0,7.008086253369273,0.0,0.0,9.973045822102426,29.919137466307276,0.0,0.0,3.5040431266846364,0.0,2.6954177897574128,1.8867924528301887,1.3477088948787064,3.234501347708895,3.234501347708895,17.78975741239892,2.15633423180593,0.0,0.5390835579514826,0.8086253369272237,1.3477088948787064,0.0,6.199460916442049,0.0,1.078167115902965,0.0,3.234501347708895,0.2695417789757413,3.7735849056603774
South Korea,0.0,0.0,10.509554140127388,0.0,0.0,9.235668789808917,21.656050955414013,0.0,0.0,3.5031847133757963,0.0,2.547770700636943,0.6369426751592357,0.0,2.547770700636943,4.45859872611465,21.656050955414013,2.8662420382165608,0.0,2.547770700636943,0.9554140127388535,1.5923566878980893,0.0,7.006369426751593,0.0,0.6369426751592357,0.0,3.5031847133757963,0.3184713375796179,3.821656050955414
Spain,0.0,0.0,9.388646288209607,0.21834061135371177,0.0,11.135371179039302,27.074235807860266,0.0,0.43668122270742354,3.2751091703056767,0.0,2.1834061135371177,1.0917030567685588,1.3100436681222707,4.585152838427948,2.8384279475982535,16.593886462882097,1.7467248908296942,0.0,0.43668122270742354,0.8733624454148471,1.7467248908296942,0.0,6.550218340611353,0.0,1.3100436681222707,0.6550218340611353,1.9650655021834063,0.0,4.585152838427948
Sweden,0.0,0.0,7.547169811320755,0.0,0.0,6.918238993710692,31.446540880503143,0.0,0.628930817610063,3.1446540880503147,0.0,3.7735849056603774,1.257861635220126,0.628930817610063,2.515723270440252,3.1446540880503147,15.09433962264151,3.1446540880503147,0.0,1.257861635220126,0.628930817610063,1.8867924528301887,0.0,7.547169811320755,0.0,1.8867924528301887,0.628930817610063,3.7735849056603774,0.0,3.1446540880503147
Switzerland,0.0,0.0,13.636363636363635,0.0,0.3246753246753247,5.844155844155844,26.2987012987013,0.0,0.0,1.948051948051948,0.0,2.5974025974025974,0.974025974025974,0.3246753246753247,2.922077922077922,2.5974025974025974,19.805194805194805,2.272727272727273,0.0,1.6233766233766231,0.0,1.6233766233766231,0.0,8.441558441558442,0.0,0.974025974025974,0.3246753246753247,3.571428571428571,0.0,3.896103896103896
UK,0.0,0.0,8.132956152758133,0.0,0.07072135785007072,8.91089108910891,26.37906647807638,0.0,0.2828854314002829,2.6166902404526167,0.0,3.041018387553041,1.272984441301273,0.5657708628005658,4.031117397454031,4.101838755304102,19.801980198019802,2.4045261669024045,0.0,0.9193776520509194,0.5657708628005658,1.0608203677510608,0.07072135785007072,6.577086280056577,0.07072135785007072,1.0608203677510608,0.9193776520509194,3.6775106082036775,0.0,3.4653465346534658
USA,0.0,0.06765899864682003,8.840775823184483,0.0,0.0,10.577356788452864,24.78574650428507,0.02255299954894001,0.2255299954894001,2.571041948579161,0.02255299954894001,2.187640956247181,1.2178619756427604,0.4510599909788002,3.9693279206134413,3.8565629228687412,20.387911592241768,2.097428958051421,0.02255299954894001,1.0374379792512405,0.6765899864682002,1.3306269733874605,0.02255299954894001,7.013982859720342,0.04510599909788002,1.0599909788001805,0.4285069914298602,3.3829499323410013,0.04510599909788002,3.6535859269282813
