keyword,recent_freq,older_freq,growth_rate,is_emerging
distillation,0.02604045570797489,0.00017546938059308652,14740.455707974892,True
transformers,0.015577772611020693,0.00017546938059308652,8777.772611020693,True
unseen,0.01441525226691467,0.00017546938059308652,8115.25226691467,True
bert,0.011625203441060218,0.00017546938059308652,6525.203441060219,True
transformer,0.04394326900720762,0.0007018775223723461,6160.817251801906,True
multilingual,0.009997674959311788,0.00017546938059308652,5597.674959311788,True
continual,0.009532666821669379,0.00017546938059308652,5332.666821669379,True
instructions,0.007905138339920948,0.00017546938059308652,4405.138339920948,True
struggle,0.013717740060451058,0.00035093876118617303,3808.8700302255293,True
pipelines,0.006742617995814926,0.00017546938059308652,3742.6179958149264,True
spiking,0.006510113926993723,0.00017546938059308652,3610.113926993722,True
trust,0.013020227853987446,0.00035093876118617303,3610.113926993722,True
advancements,0.013020227853987446,0.00035093876118617303,3610.113926993722,True
gnns,0.006045105789351314,0.00017546938059308652,3345.105789351313,True
prompts,0.011625203441060218,0.00035093876118617303,3212.601720530109,True
mitigates,0.0053475935828877,0.00017546938059308652,2947.5935828877004,True
personalization,0.005115089514066497,0.00017546938059308652,2815.089514066496,True
explainable,0.010230179028132993,0.00035093876118617303,2815.089514066496,True
clip,0.005115089514066497,0.00017546938059308652,2815.089514066496,True
defenses,0.005115089514066497,0.00017546938059308652,2815.089514066496,True
clients,0.009997674959311788,0.00035093876118617303,2748.8374796558937,True
taxonomy,0.004882585445245292,0.00017546938059308652,2682.5854452452913,True
keyword,0.004882585445245292,0.00017546938059308652,2682.5854452452913,True
paving,0.0046500813764240876,0.00017546938059308652,2550.0813764240875,True
descriptors,0.0046500813764240876,0.00017546938059308652,2550.0813764240875,True
contrastive,0.018367821436875147,0.0007018775223723461,2516.9553592187863,True
instruction,0.00906765868402697,0.00035093876118617303,2483.8293420134846,True
replay,0.004417577307602883,0.00017546938059308652,2417.5773076028827,True
selectively,0.004417577307602883,0.00017546938059308652,2417.5773076028827,True
slam,0.004417577307602883,0.00017546938059308652,2417.5773076028827,True
haptic,0.0041850732387816785,0.00017546938059308652,2285.0732387816784,True
expressiveness,0.0041850732387816785,0.00017546938059308652,2285.0732387816784,True
grounding,0.0041850732387816785,0.00017546938059308652,2285.0732387816784,True
perp,0.0041850732387816785,0.00017546938059308652,2285.0732387816784,True
randomization,0.0041850732387816785,0.00017546938059308652,2285.0732387816784,True
minority,0.0041850732387816785,0.00017546938059308652,2285.0732387816784,True
showcase,0.008137642408742153,0.00035093876118617303,2218.8212043710764,True
uavs,0.003952569169960474,0.00017546938059308652,2152.569169960474,True
seamlessly,0.003952569169960474,0.00017546938059308652,2152.569169960474,True
font,0.003952569169960474,0.00017546938059308652,2152.569169960474,True
validates,0.003952569169960474,0.00017546938059308652,2152.569169960474,True
ethical,0.003952569169960474,0.00017546938059308652,2152.569169960474,True
scratch,0.003952569169960474,0.00017546938059308652,2152.569169960474,True
leverages,0.023250406882120437,0.001052816283558519,2108.401147020073,True
lunar,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
teachers,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
speedups,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
regional,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
scholarly,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
isac,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
actor,0.00372006510113927,0.00017546938059308652,2020.0651011392697,True
perception,0.022087886538014415,0.001052816283558519,1997.9810896690694,True
leveraging,0.03603813066728668,0.001754693805930865,1953.8130667286675,True
recommender,0.007207626133457335,0.00035093876118617303,1953.8130667286675,True
